Pos.,Participantes,4/1/21,4/8/21,4/15/21,4/22/21,4/29/21,5/6/21,5/13/21,5/20/21,5/27/21,6/3/21,6/10/21,6/17/21,6/24/21,PJ,Total,$$,ROI
1,Bru,0,0,1,5,0,5,0,1,5,5,3,3,0,13,41,158.5,144%
2,Jimmy,5,-1,5,0,5,0,0,-1,-1,-1,5,0,0,13,29,133,105%
3,Negro,3,0,3,1,-1,0,0,,0,0,0,5,,11,22,59.5,8%
4,Pucky L,0,5,0,0,-1,0,0,5,0,0,0,0,0,13,22,59.5,-8%
5,Cerba,-1,0,0,-1,1,0,3,0,0,0,0,1,3,13,19,37,-43%
6,Fox,1,0,-1,,0,3,-1,,,3,-1,,5,9,18,61.5,37%
7,Pomp,0,3,0,0,0,0,0,3,1,0,,0,-1,12,18,30.5,-49%
8,Razor,0,0,0,0,0,-1,-1,0,3,1,1,0,0,13,16,22,-66%
9,Lilo,0,0,0,0,0,1,5,0,,0,,,,9,15,40,-11%
10,Richi,-1,1,-1,0,3,-1,1,0,0,0,0,-1,1,13,15,35,-46%
11,Gordotox,,,0,3,0,0,0,0,0,,0,,0,9,12,13.5,-70%
